,jichang,shike,quedingxingrongliang,quedingxingronglianggailv,buquedingxingrongliang,buquedingxingronglianggailv,leijiagailv,1,2,3,4,5,6,7,8,9,10
0,ZBAA,36,14,1,6,0.04,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
1,ZBAA,36,14,1,7,0.02,0.9600000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
2,ZBAA,36,14,1,8,0.04,0.9400000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
3,ZBAA,36,14,1,9,0.1,0.9000000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
4,ZBAA,36,14,1,10,0.14,0.8,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
5,ZBAA,36,14,1,11,0.16,0.6600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
6,ZBAA,36,14,1,12,0.24,0.5,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
7,ZBAA,36,14,1,13,0.1,0.26,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
8,ZBAA,36,14,1,14,0.06,0.16,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
9,ZBAA,36,14,1,15,0.04,0.1,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
10,ZBAA,36,14,1,16,0.02,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
11,ZBAA,36,14,1,17,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
12,ZBAA,36,14,1,18,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
13,ZBAA,37,17,1,7,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
14,ZBAA,37,17,1,8,0.04,0.98,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
15,ZBAA,37,17,1,9,0.08,0.94,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
16,ZBAA,37,17,1,10,0.06,0.8600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
17,ZBAA,37,17,1,11,0.22,0.8,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
