,jichang,shike,quedingxingrongliang,quedingxingronglianggailv,buquedingxingrongliang,buquedingxingronglianggailv,leijiagailv,1,2,3,4,5,6,7,8,9,10
0,ZBAA,36,17,1,9,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
1,ZBAA,36,17,1,11,0.02,0.98,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
2,ZBAA,36,17,1,12,0.16,0.96,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
3,ZBAA,36,17,1,13,0.08,0.8,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
4,ZBAA,36,17,1,14,0.18,0.72,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
5,ZBAA,36,17,1,15,0.18,0.54,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
6,ZBAA,36,17,1,16,0.14,0.36,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
7,ZBAA,36,17,1,17,0.08,0.22,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
8,ZBAA,36,17,1,18,0.04,0.14,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
9,ZBAA,36,17,1,19,0.06,0.1,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
10,ZBAA,36,17,1,20,0.04,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
11,ZBAA,37,16,1,10,0.04,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
12,ZBAA,37,16,1,11,0.02,0.96,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
13,ZBAA,37,16,1,12,0.3,0.94,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
14,ZBAA,37,16,1,13,0.02,0.6400000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
15,ZBAA,37,16,1,14,0.22,0.6200000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
16,ZBAA,37,16,1,15,0.18,0.4,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
17,ZBAA,37,16,1,16,0.08,0.22,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
18,ZBAA,37,16,1,17,0.02,0.14,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
19,ZBAA,37,16,1,18,0.06,0.12,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
20,ZBAA,37,16,1,19,0.02,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
21,ZBAA,37,16,1,20,0.04,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
22,ZBAA,38,17,1,7,0.02,1.0000000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
23,ZBAA,38,17,1,8,0.02,0.9800000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
24,ZBAA,38,17,1,9,0.06,0.9600000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
25,ZBAA,38,17,1,10,0.1,0.9000000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
26,ZBAA,38,17,1,11,0.12,0.8,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
27,ZBAA,38,17,1,12,0.08,0.6800000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
28,ZBAA,38,17,1,13,0.04,0.6000000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
29,ZBAA,38,17,1,14,0.14,0.56,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
30,ZBAA,38,17,1,15,0.1,0.42000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
31,ZBAA,38,17,1,16,0.14,0.32,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
32,ZBAA,38,17,1,17,0.06,0.18,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
33,ZBAA,38,17,1,18,0.06,0.12,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
34,ZBAA,38,17,1,19,0.02,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
35,ZBAA,38,17,1,20,0.04,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
36,ZBAA,39,17,1,7,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
37,ZBAA,39,17,1,9,0.04,0.9800000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
38,ZBAA,39,17,1,10,0.04,0.9400000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
39,ZBAA,39,17,1,11,0.08,0.9,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
40,ZBAA,39,17,1,12,0.18,0.82,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
41,ZBAA,39,17,1,13,0.16,0.64,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
42,ZBAA,39,17,1,14,0.1,0.48000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
43,ZBAA,39,17,1,15,0.12,0.38,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
44,ZBAA,39,17,1,16,0.06,0.26,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
45,ZBAA,39,17,1,17,0.06,0.19999999999999998,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
