jichang,shijian,xuhao,lichangliuliang
ZBAA,0,1,6
ZBAA,0,2,5
ZBAA,0,3,5
ZBAA,0,4,5
ZBAA,0,5,6
ZBAA,0,6,6
ZBAA,0,7,6
ZBAA,0,9,7
ZBAA,0,10,5
ZBAA,0,11,9
ZBAA,0,12,5
ZBAA,0,13,5
ZBAA,0,14,7
ZBAA,0,15,5
ZBAA,0,16,7
ZBAA,0,17,5
ZBAA,0,18,5
ZBAA,0,19,6
ZBAA,0,20,6
ZBAA,0,21,6
ZBAA,0,22,7
ZBAA,0,23,6
ZBAA,0,24,6
ZBAA,0,25,5
ZBAA,0,26,6
ZBAA,0,27,5
ZBAA,0,28,6
ZBAA,0,29,6
ZBAA,0,32,6
ZBAA,0,34,7
ZBAA,0,35,5
ZBAA,0,36,7
ZBAA,0,37,9
ZBAA,0,38,5
ZBAA,0,40,5
ZBAA,0,42,5
ZBAA,0,43,5
ZBAA,0,44,5
ZBAA,0,45,6
ZBAA,0,46,7
ZBAA,0,47,6
ZBAA,0,48,5
ZBAA,0,50,5
ZBAA,1,1,8
ZBAA,1,2,6
ZBAA,1,3,6
ZBAA,1,5,6
ZBAA,1,6,5
ZBAA,1,7,7
ZBAA,1,8,5
ZBAA,1,9,6
ZBAA,1,10,5
ZBAA,1,11,9
ZBAA,1,13,5
ZBAA,1,14,7
ZBAA,1,15,6
ZBAA,1,16,7
ZBAA,1,17,5
ZBAA,1,18,5
ZBAA,1,19,6
ZBAA,1,20,6
ZBAA,1,21,10
ZBAA,1,22,6
ZBAA,1,23,5
ZBAA,1,24,9
ZBAA,1,25,7
ZBAA,1,26,8
ZBAA,1,28,5
ZBAA,1,29,7
ZBAA,1,30,6
ZBAA,1,31,8
ZBAA,1,32,6
ZBAA,1,33,5
ZBAA,1,35,9
ZBAA,1,36,5
ZBAA,1,38,5
ZBAA,1,41,9
ZBAA,1,43,7
ZBAA,1,44,6
ZBAA,1,45,6
ZBAA,1,46,8
ZBAA,1,47,5
ZBAA,1,48,7
ZBAA,1,49,8
ZBAA,1,50,6
ZBAA,2,1,10
ZBAA,2,2,6
ZBAA,2,3,6
ZBAA,2,4,5
ZBAA,2,5,6
ZBAA,2,6,5
ZBAA,2,7,5
ZBAA,2,8,7
ZBAA,2,9,7
ZBAA,2,10,8
ZBAA,2,11,5
ZBAA,2,12,7
ZBAA,2,13,6
ZBAA,2,14,6
ZBAA,2,15,7
ZBAA,2,16,7
ZBAA,2,17,6
ZBAA,2,18,6
ZBAA,2,19,6
ZBAA,2,20,5
ZBAA,2,21,8
ZBAA,2,22,5
ZBAA,2,23,6
ZBAA,2,24,8
ZBAA,2,26,5
ZBAA,2,27,6
ZBAA,2,28,5
ZBAA,2,29,7
ZBAA,2,30,6
ZBAA,2,31,6
ZBAA,2,32,7
ZBAA,2,33,9
ZBAA,2,34,5
ZBAA,2,35,12
ZBAA,2,36,6
ZBAA,2,37,6
ZBAA,2,38,6
ZBAA,2,39,5
ZBAA,2,40,8
ZBAA,2,41,7
ZBAA,2,42,8
ZBAA,2,43,7
ZBAA,2,45,6
ZBAA,2,46,5
ZBAA,2,47,6
ZBAA,2,48,10
ZBAA,2,49,7
ZBAA,3,1,7
ZBAA,3,2,5
ZBAA,3,3,5
ZBAA,3,4,9
ZBAA,3,5,7
ZBAA,3,6,7
ZBAA,3,7,5
ZBAA,3,8,6
ZBAA,3,9,6
ZBAA,3,10,6
ZBAA,3,11,7
ZBAA,3,12,5
ZBAA,3,13,9
ZBAA,3,14,7
ZBAA,3,15,7
ZBAA,3,16,6
ZBAA,3,17,6
ZBAA,3,18,6
ZBAA,3,19,5
ZBAA,3,20,5
ZBAA,3,21,9
ZBAA,3,23,5
ZBAA,3,24,12
ZBAA,3,25,6
ZBAA,3,26,8
ZBAA,3,27,8
ZBAA,3,28,5
ZBAA,3,29,6
ZBAA,3,30,5
ZBAA,3,31,6
ZBAA,3,32,7
ZBAA,3,33,5
ZBAA,3,35,9
ZBAA,3,36,5
ZBAA,3,37,5
ZBAA,3,38,7
ZBAA,3,39,8
ZBAA,3,40,7
ZBAA,3,42,7
ZBAA,3,43,6
ZBAA,3,44,6
ZBAA,3,45,6
ZBAA,3,46,5
ZBAA,3,47,7
ZBAA,3,48,7
ZBAA,3,49,6
ZBAA,4,1,9
ZBAA,4,2,8
ZBAA,4,3,11
ZBAA,4,4,9
ZBAA,4,5,6
ZBAA,4,6,9
ZBAA,4,7,9
ZBAA,4,8,8
ZBAA,4,9,7
ZBAA,4,10,11
ZBAA,4,11,8
ZBAA,4,12,8
ZBAA,4,13,11
ZBAA,4,14,8
ZBAA,4,15,6
ZBAA,4,16,9
ZBAA,4,17,8
ZBAA,4,18,8
ZBAA,4,19,8
ZBAA,4,20,8
ZBAA,4,21,7
ZBAA,4,22,9
ZBAA,4,23,7
ZBAA,4,24,9
ZBAA,4,25,5
ZBAA,4,26,5
ZBAA,4,27,6
ZBAA,4,28,9
ZBAA,4,29,6
ZBAA,4,30,8
ZBAA,4,31,8
ZBAA,4,32,6
ZBAA,4,33,7
ZBAA,4,34,7
ZBAA,4,35,7
ZBAA,4,36,9
ZBAA,4,37,8
ZBAA,4,38,7
ZBAA,4,39,8
ZBAA,4,40,6
ZBAA,4,41,8
ZBAA,4,42,9
ZBAA,4,43,9
ZBAA,4,44,5
ZBAA,4,45,6
ZBAA,4,46,7
ZBAA,4,47,5
ZBAA,4,48,7
ZBAA,4,49,10
ZBAA,4,50,10
ZBAA,5,1,7
ZBAA,5,2,11
ZBAA,5,3,5
ZBAA,5,4,7
ZBAA,5,5,9
ZBAA,5,6,8
ZBAA,5,7,10
ZBAA,5,8,6
ZBAA,5,9,7
ZBAA,5,10,8
ZBAA,5,11,5
ZBAA,5,12,10
ZBAA,5,13,8
ZBAA,5,14,8
ZBAA,5,15,9
ZBAA,5,16,7
ZBAA,5,17,5
ZBAA,5,18,5
ZBAA,5,19,5
ZBAA,5,20,5
ZBAA,5,21,8
ZBAA,5,23,10
ZBAA,5,24,8
ZBAA,5,25,7
ZBAA,5,26,9
ZBAA,5,27,5
ZBAA,5,28,5
ZBAA,5,29,7
ZBAA,5,30,6
ZBAA,5,31,6
ZBAA,5,32,8
ZBAA,5,33,6
ZBAA,5,34,7
ZBAA,5,35,7
ZBAA,5,36,10
ZBAA,5,37,6
ZBAA,5,38,6
ZBAA,5,39,6
ZBAA,5,40,7
ZBAA,5,41,5
ZBAA,5,42,7
ZBAA,5,43,5
ZBAA,5,44,7
ZBAA,5,45,7
ZBAA,5,46,7
ZBAA,5,47,6
ZBAA,5,48,11
ZBAA,5,49,8
ZBAA,5,50,7
ZBAA,6,1,6
ZBAA,6,2,6
ZBAA,6,3,7
ZBAA,6,4,7
ZBAA,6,5,6
ZBAA,6,6,8
ZBAA,6,7,11
ZBAA,6,8,9
ZBAA,6,9,7
ZBAA,6,11,10
ZBAA,6,12,8
ZBAA,6,13,6
ZBAA,6,14,7
ZBAA,6,15,6
ZBAA,6,16,5
ZBAA,6,17,7
ZBAA,6,18,10
ZBAA,6,19,8
ZBAA,6,20,7
ZBAA,6,21,7
