,shanqu,shike,quedingxingrongliang,quedingxingronglianggailv,buquedingxingrongliang,buquedingxingronglianggailv,leijiagailv,1,2,3,4,5,6,7,8,9,10
0,ZBAAAR04,36,16,1,8,0.04,1.0,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
1,ZBAAAR04,36,16,1,9,0.08,0.9600000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
2,ZBAAAR04,36,16,1,10,0.1,0.88,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
3,ZBAAAR04,36,16,1,11,0.1,0.78,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
4,ZBAAAR04,36,16,1,12,0.2,0.68,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
5,ZBAAAR04,36,16,1,13,0.14,0.4800000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
6,ZBAAAR04,36,16,1,14,0.08,0.34,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
7,ZBAAAR04,36,16,1,15,0.1,0.25999999999999995,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
8,ZBAAAR04,36,16,1,16,0.08,0.16,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
9,ZBAAAR04,36,16,1,17,0.02,0.08,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
10,ZBAAAR04,36,16,1,18,0.02,0.06,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
11,ZBAAAR04,36,16,1,19,0.04,0.04,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
12,ZBAAAR04,37,16,1,8,0.06,1.0,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
13,ZBAAAR04,37,16,1,9,0.02,0.9400000000000002,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
14,ZBAAAR04,37,16,1,10,0.06,0.9200000000000002,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
15,ZBAAAR04,37,16,1,11,0.06,0.8600000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
16,ZBAAAR04,37,16,1,12,0.16,0.8,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
17,ZBAAAR04,37,16,1,13,0.18,0.6400000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
18,ZBAAAR04,37,16,1,14,0.12,0.45999999999999996,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
19,ZBAAAR04,37,16,1,15,0.14,0.34,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
20,ZBAAAR04,37,16,1,16,0.1,0.2,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
21,ZBAAAR04,37,16,1,17,0.04,0.1,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
22,ZBAAAR04,37,16,1,18,0.04,0.06,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
23,ZBAAAR04,37,16,1,20,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
24,ZBAAAR04,38,17,1,7,0.02,0.9999999999999999,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
25,ZBAAAR04,38,17,1,8,0.02,0.9800000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
26,ZBAAAR04,38,17,1,9,0.08,0.9600000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
27,ZBAAAR04,38,17,1,10,0.02,0.88,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
28,ZBAAAR04,38,17,1,11,0.08,0.86,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
29,ZBAAAR04,38,17,1,12,0.22,0.7799999999999999,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
30,ZBAAAR04,38,17,1,13,0.14,0.56,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
31,ZBAAAR04,38,17,1,14,0.1,0.42000000000000004,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
32,ZBAAAR04,38,17,1,15,0.1,0.32000000000000006,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
33,ZBAAAR04,38,17,1,16,0.06,0.21999999999999997,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
34,ZBAAAR04,38,17,1,17,0.04,0.15999999999999998,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
35,ZBAAAR04,38,17,1,18,0.08,0.12000000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
36,ZBAAAR04,38,17,1,19,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
37,ZBAAAR04,38,17,1,24,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
38,ZBAAAR04,39,18,1,8,0.04,1.0,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
39,ZBAAAR04,39,18,1,10,0.1,0.9600000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
40,ZBAAAR04,39,18,1,11,0.08,0.86,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
41,ZBAAAR04,39,18,1,12,0.1,0.7800000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
